Japanese,English
但し,"However,"
議員,Congressman
京都,Kyoto
部分,part
漫画,Comic
最大,maximum
名称,name
石,stone
員,Member
独立,Independence
書,book
施設,Facility
場所,place
県道,Prefectural road
始まる,Begin
示す,Show
以降,Or later
様々,various
大きな,big
クラブ,club
機能,function
天,Heaven
サッカー,Football
部隊,Unit
搭載,powered by
初めて,For the first time
兵,Soldier
高校,high school
公開,Release
党,party
編成,Organization
運動,motion
量,amount
時期,season
センター,Center
製作,Production
藩,Clan
強い,strong
企業,Enterprise
受賞,Award
付く,Attach
院,Hospital
店,shop
戦闘,combat
結ぶ,tie
目的,Purpose
通常,Normal
対応,Correspondence
残る,Remain
勝利,victory
ホーム,home
管理,management
至る,To reach
団,Team
木,wood
最終,Final
基本,Basic
教授,Professor
ドラマ,Drama
挙げる,List
構造,Construction
作曲,Composition
アニメ,Anime
設計,design
実施,Implementation
現,Current
長い,long
メンバー,member
領,Ryo
交通,traffic
室,Room
協会,Association
女子,Girls
者,Person
設定,Setting
発見,Discovery
契約,Agreement
信,Shin
英語,English language
生活,life
連合,Union
自動車,Automobile
指揮,Conducting
色,color
自分,myself
及ぶ,Reach
ラジオ,radio
歌,song
重,Heavy
規模,scale
移籍,Transfer
思う,think
廃止,Abolished
名前,given names
重要,important
成功,success
原,original
予定,plans
特別,special
認める,Admit
キャラクター,character
巻,roll
最高,Best
加える,Add
ここ,here
バンド,band
再び,again
武,Takeshi
実際,Actually
そこ,There
似る,Similar
組,set
運転,operation
専門,Specialty
出版,Publishing
内容,Contents
煎る,roast
個,Individual
小学校,primary school
義,Righteousness
数,number
終わる,End
例,Example
リリース,release
合わせる,match
大戦,War
科学,Science
運行,Service
対,versus
北海道,Hokkaido
士,Shishi
ヨーロッパ,Europe
群,group
少ない,Few
指定,Designation
江戸,Edo
ところ,By the way
陸軍,Army
残す,leave
教会,Church
期間,period
共和,Kyowa
前,Before
国家,Nation
連続,Continuous
門,gate
導入,Introduction
記念,Commemorative
団体,Group
結成,Formed
特徴,Features
または,Or
表記,Notation
平,flat
校,school
宇宙,space
総合,Comprehensive
死去,Died
小説,novel
大統領,President
公園,park
タイトル,title
カード,card
警察,police
形式,format
競技,Competition
結婚,marriage
参照,reference
係わる,Involved
夏,summer
ローマ,Rome
国民,People
中学校,Junior high school
評価,Evaluation
オリンピック,Olympic
新た,new
運営,Operation
選ぶ,Choose
完全,Perfect
連邦,Federation
経営,management
条,Article
指導,Guidance
会議,Meeting
谷,valley
決勝,final
英,English
先,Ahead
展開,Deployment
完成,Complete
品,Goods
多数,Many
別,Another
周辺,Surroundings
子供,children
対象,Target
事務,Office work
概要,Overview
提供,Offer
飛行,Flying
進む,move on
天皇,Emperor
田,Rice field
娘,Daughter
マン,man
市立,Municipal
サービス,service
ほぼ,Almost
向かう,Head
扱う,deal with
引退,Retired
あるいは,Or
求める,Ask
同時に,at the same time
男,Man
理由,Reason
人気,Popular
族,Tribe
作戦,Strategy
円,Circle
勝つ,win
非常,Very
頭,Head
音,sound
除く,except
デザイン,design
議会,Parliament
政,Masa
人間,Human
公式,official
しか,Deer
編,Hen
初期,initial
環境,environment
星,Star
流れる,Flow
彼女,She
誌,magazine
時点,Time point
レース,race
通り,Street
打,Hit
全体,Overall
自由,freedom
座,seat
労働,Labor
表示,display
例えば,For example
和,sum
発行,Issue
自治,Autonomy
裁判,trial
方法,Method
支援,support
共同,Joint
文字,letter
その他,Other
関連,Relation
新しい,new
国道,National highway
左,left
スポーツ,Sports
値,value
広島,Hiroshima
スペイン,Spain
営業,Sales
花,flower
行,line
母,mother
様,Mr
輸送,transport
野,field
屋,Shop
説,Theory
舞台,stage
以前,Before
方面,Direction
合併,merger
アジア,Asia
演奏,Performance
工業,Industrial
建築,Architecture
春,spring
法人,Corporation
圏,Category
街,City
いずれ,Either
データ,data
送る,send
運用,Operation
高速,high speed
一覧,List
大正,Taisho
区間,section
能力,ability
支配,Domination
有名,Famous
銀行,Bank
新聞,newspaper
翌年,following year
空港,airport
由来,Origin
競馬,Horse racing
学者,Scholar
韓国,Korea
自ずから,naturally
産業,industry
整備,Maintenance
口,mouth
史,History
行政,Administration
試験,test
明,Ming
妻,wife
ニューヨーク,New York
方式,method
発展,development
枠,frame
丸,Round
ジョン,John
状況,Status
基づく,Based on
主要,Major
既に,already
変化,change
神社,Shrine
違う,Wrong
当,This
右,right
両,Both
対戦,Match
制度,system
広い,wide
番号,number
戻る,Return
成立,Established
港,Harbor
新,new
通信,communication
内,Inside
連載,Serialization
装置,apparatus
後半,Latter half
頃,Around
移動,Move
企画,Planning
電気,Electricity
平均,average
庁,Agency
プレー,play
掲載,Published
清,Qing
祭,Festival
民,people
南部,Southern
サイト,site
距離,distance
分類,Classification
種類,type
スーパー,Supermarket
男性,male
風,Wind
福岡,Fukuoka
状,State
形成,Formation
階,Floor
差,difference
付近,near
師,Master
言語,language
元年,First year
登録,Registration
物語,story
まま,As it is
工場,factory
主張,Claim
大臣,Minister
含める,include
自然,Nature
装備,Equipment
丘,hill
迎える,Welcome
属,Genus
開く,open
撮影,photograph
系列,series
近い,near
以後,After that
事故,accident
正式,Official
成績,Grades
旧,Old
路,Road
複数,Multiple
美術,art
雑誌,magazine
論,Theory
電車,Electric train
初代,The first generation
設ける,Provide
帯,band
家,House
述べる,State
写真,Photo
地球,Earth
政権,administration
蔵,Warehouse
競走,race
起こる,Occur
惑星,Planet
学ぶ,learn
県立,Prefectural
部門,Department
中継,relay
王国,Kingdom
末,The end
千葉,Chiba
類,Kind
表現,Expression
動物,animal
司令,command
忠,Loyalty
鉄,iron
製品,Product
支持,support
入れる,Put in
ビル,building
組む,Assemble
病院,hospital
方,One
乗る,get on
艦隊,fleet
経験,experience
秋,autumn
地上,Above ground
メートル,Meter
竜,dragon
指す,Point
横浜,Yokohama
復帰,return
語る,talk
条件,conditions
将軍,Shogun
ファン,fan
敗れる,Lose
名古屋,Nagoya
称する,Name
学生,student
劇場,theater
選出,Election
行動,Action
心,heart
言葉,word
クラス,class
弾,Bullet
久,Hisashi
森,Woods
紹介,Introduction
客,Customer
率いる,Lead
着る,Wear
少年,boy
失う,lose
拡大,Expansion
姿,Appearance
尾,tail
政策,policy
敵,enemy
専用,designated
年頃,Around the age
軍事,Military
宮,Miya
このよう,like this
編集,Edit
相手,Opponent
大形,Large
進出,Advance
保,Protect
イベント,Event
文学,literature
着,Arrival
ダム,dam
反対,Opposition
保護,protection
進める,Advance
程,About
女,woman
追加,add to
湖,lake
俳優,Actor
メーカー,Manufacturer
人々,people
界,World
開業,Opening
林,Hayashi
工事,Construction
継ぐ,Take over
現代,present day
表す,Represent
方向,direction
学部,Undergraduate
確認,Verification
立つ,stand
記述,Description
直接,Directly
又は,Or
個人,Individual
事実,fact
統合,Integration
見せる,show
オリジナル,original
配置,Placement
従来,Conventional
批判,Criticism
国立,National
会長,President
住む,live
定める,To determine
条約,Treaty
増加,increase
北部,Northern
近年,recent years
夫,husband
唯一,Only
業,Karma
息子,son
決める,Decide
候補,Candidate
過去,past
映像,Video
普通,usually
堂,Hall
白,White
芸術,art
作家,Writer
パリ,Paris
途中,On the way
相,phase
取得,Get
字,Character
戦後,Postwar
効果,effect
地元,local
得点,score
トップ,Top
ライブ,live
僅か,Slight
章,chapter
報告,report
女優,actress
朝鮮,Korea
標準,standard
集,Collection
吉,Kichi
赤,Red
項,Term
ロンドン,London
観光,Tourism
目指す,aim
コンピューター,computer
ソ連,Soviet Union
器,vessel
離れる,Leave
べし,Should
声,voice
防衛,defense
起こす,Wake up
住民,residents
革命,revolution
インド,India
徳,Virtue
電話,phone
直,straight
各地,Each place
内閣,Cabinet
限定,Limited
王座,throne
ロック,Lock
店舗,Store
新潟,Niigata
本線,Main line
黒,black
弟,Younger brother
波,wave
博士,Doctor
湾,bay
規定,Regulations
流,Flow
核,Nuclear
外国,Foreign countries
ニュース,news
法律,law
紀元,A.D.
太,Thick
変わる,change
協力,Cooperation
読む,Read
社長,President
業務,business
集める,Gather
電子,Electronic
低い,Low
市民,Citizen
不明,unknown
創設,Founded
楽曲,Music
台湾,Taiwan
本名,Real name
比べる,Compare
欧州,Europe
家族,family
系統,system
自動,Automatic
止まる,Stop
速度,speed
民族,People
そのまま,As it is
知,Knowledge
夜,Night
余り,remainder
オープン,open
現れる,appear
分野,Field
勢力,power
伝える,Tell
ソフト,soft
統一,Unification
生物,Organism
大,Big
太平洋,Pacific Ocean
ヒット,hit
超える,Exceed
土地,land
制御,control
動く,Move
太郎,Taro
九州,Kyushu
職,Job
歌手,singer
元々,originally
段,Step
治,Cure
市場,market
層,layer
反応,reaction
表,table
独自,Original
親,parent
記す,Write
美,Beauty
発電,Power generation
改正,Amendment
テーマ,theme
空,Sky
組合,Union
参戦,Participation in the war
域,Area
処理,processing
細胞,cell
分ける,Divide
商品,Product
性能,Performance
ポーランド,Poland
原因,Cause
原作,Original
ライン,line
安全,safety
改造,Remodeling
カナダ,Canada
帝,Emperor
つつ,While
図る,Aim
愛,Love
明らか,clear
秒,Seconds
仕事,jobs
派遣,Dispatch
特定,specific
死,death
定義,Definition
レコード,record
本部,Headquarters
実験,Experiment
毎年,Every year
タイプ,type
所在,Location
関東,Kanto
理論,theory
管,tube
接続,Connect
神戸,Kobe
通称,Known as
破壊,Destruction
実現,Realization
化学,Chemistry
所有,Owned
ベース,base
反,Anti
兄,Brother
連盟,Federation
米国,USA
拠点,Hub
師団,Division
主人公,hero
全く,At all
私,I
トン,Tons
基地,base
質,quality
建てる,build
成長,growth
面積,area
神奈川,Kanagawa
今,now
同盟,alliance
発,Departure
記,Record
軌道,Orbit
逆,Reverse
通ずる,Communicate
オランダ,Netherlands
貢献,Contribution
備える,Prepare
障害,Disability
商業,Commercial
計,Total
雄,Male
愛知,Aichi
源,source
ブランド,brand
購入,Purchase
直後,Immediately after
行為,action
利,Toshi
松,Pine
山口,Yamaguchi
教,Teaching
東北,Tohoku
朝日,Asahi
走る,Run
ステージ,stage
作成,Create
被害,damage
機構,mechanism
本社,head office
海外,overseas
原子,atom
住宅,Housing
代わる,replace
達成,Achievement
沖縄,Okinawa
働く,work
ベスト,Best
歌う,sing
改革,reform
首都,capital
守,Mamoru
高,High
仕様,specification
聖,Holy
誕生,birth
古,Old
スタジオ,studio
入学,admission
ビデオ,video
ツアー,Tours
移る,Move
従う,Follow
刊行,Publication
男子,Boys
学園,Campus
ポイント,point
節,section
盤,Board
建物,building
コーナー,corner
皇帝,Emperor
作業,work
上がる,Go up
兄弟,Brother
相当,Equivalent
オーストラリア,Australia
植物,plant
紙,paper
集団,Group
慶,Kei
通,Connoisseur
投票,Voting
敗,Defeat
ネット,Net
単位,unit
並ぶ,line up
維持,Maintain
解散,Dissolution
切る,Cut
形態,form
郵便,Post
関西,Kansai
説明,Description
